"xmlns","series","url","limit","offset","total","RaceTable__season","RaceTable__Races__season","RaceTable__Races__round","RaceTable__Races__url","RaceTable__Races__raceName","RaceTable__Races__Circuit__circuitId","RaceTable__Races__Circuit__url","RaceTable__Races__Circuit__circuitName","RaceTable__Races__Circuit__Location__lat","RaceTable__Races__Circuit__Location__long","RaceTable__Races__Circuit__Location__locality","RaceTable__Races__Circuit__Location__country","RaceTable__Races__date","RaceTable__Races__time","RaceTable__Races__Results__number","RaceTable__Races__Results__position","RaceTable__Races__Results__positionText","RaceTable__Races__Results__points","RaceTable__Races__Results__Driver__driverId","RaceTable__Races__Results__Driver__permanentNumber","RaceTable__Races__Results__Driver__code","RaceTable__Races__Results__Driver__url","RaceTable__Races__Results__Driver__givenName","RaceTable__Races__Results__Driver__familyName","RaceTable__Races__Results__Driver__dateOfBirth","RaceTable__Races__Results__Driver__nationality","RaceTable__Races__Results__Constructor__constructorId","RaceTable__Races__Results__Constructor__url","RaceTable__Races__Results__Constructor__name","RaceTable__Races__Results__Constructor__nationality","RaceTable__Races__Results__grid","RaceTable__Races__Results__laps","RaceTable__Races__Results__status","RaceTable__Races__Results__Time__millis","RaceTable__Races__Results__Time__time","RaceTable__Races__Results__FastestLap__rank","RaceTable__Races__Results__FastestLap__lap","RaceTable__Races__Results__FastestLap__Time__time","RaceTable__Races__Results__FastestLap__AverageSpeed__units","RaceTable__Races__Results__FastestLap__AverageSpeed__speed"
"http://ergast.com/mrd/1.4","f1","http://ergast.com/api/f1/2018/results.json","500","0","420","2018","2018","1","https://en.wikipedia.org/wiki/2018_Australian_Grand_Prix","Australian Grand Prix","albert_park","http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit","Albert Park Grand Prix Circuit","-37.8497","144.968","Melbourne","Australia","2018-03-25","05:10:00Z","5","1","1","25","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","3","58","Finished","5373283","1:29:33.283","4","53","1:26.469","kph","220.782"
"","","","","","","","","","","","","","","","","","","","","44","2","2","18","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","1","58","Finished","5378319","+5.036","3","50","1:26.444","kph","220.845"
"","","","","","","","","","","","","","","","","","","","","7","3","3","15","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","2","58","Finished","5379592","+6.309","2","57","1:26.373","kph","221.027"
"","","","","","","","","","","","","","","","","","","","","3","4","4","12","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","8","58","Finished","5380352","+7.069","1","54","1:25.945","kph","222.128"
"","","","","","","","","","","","","","","","","","","","","14","5","5","10","alonso","14","ALO","http://en.wikipedia.org/wiki/Fernando_Alonso","Fernando","Alonso","1981-07-29","Spanish","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","10","58","Finished","5401169","+27.886","7","57","1:26.978","kph","219.489"
"","","","","","","","","","","","","","","","","","","","","33","6","6","8","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","4","58","Finished","5402228","+28.945","5","54","1:26.880","kph","219.737"
"","","","","","","","","","","","","","","","","","","","","27","7","7","6","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","7","58","Finished","5405954","+32.671","9","57","1:27.081","kph","219.230"
"","","","","","","","","","","","","","","","","","","","","77","8","8","4","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","15","58","Finished","5407622","+34.339","8","54","1:27.019","kph","219.386"
"","","","","","","","","","","","","","","","","","","","","2","9","9","2","vandoorne","2","VAN","http://en.wikipedia.org/wiki/Stoffel_Vandoorne","Stoffel","Vandoorne","1992-03-26","Belgian","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","11","58","Finished","5408204","+34.921","6","57","1:26.958","kph","219.540"
"","","","","","","","","","","","","","","","","","","","","55","10","10","1","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","9","58","Finished","5419005","+45.722","12","51","1:27.944","kph","217.079"
"","","","","","","","","","","","","","","","","","","","","11","11","11","0","perez","11","PER","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio","Pérez","1990-01-26","Mexican","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","12","58","Finished","5420100","+46.817","11","51","1:27.633","kph","217.849"
"","","","","","","","","","","","","","","","","","","","","31","12","12","0","ocon","31","OCO","http://en.wikipedia.org/wiki/Esteban_Ocon","Esteban","Ocon","1996-09-17","French","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","14","58","Finished","5433561","+1:00.278","10","57","1:27.600","kph","217.931"
"","","","","","","","","","","","","","","","","","","","","16","13","13","0","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","18","58","Finished","5449042","+1:15.759","15","56","1:28.759","kph","215.085"
"","","","","","","","","","","","","","","","","","","","","18","14","14","0","stroll","18","STR","http://en.wikipedia.org/wiki/Lance_Stroll","Lance","Stroll","1998-10-29","Canadian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","13","58","Finished","5451571","+1:18.288","14","55","1:28.511","kph","215.688"
"","","","","","","","","","","","","","","","","","","","","28","15","15","0","brendon_hartley","28","HAR","http://en.wikipedia.org/wiki/Brendon_Hartley","Brendon","Hartley","1989-11-10","New Zealander","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","16","57","+1 Lap","","","13","57","1:28.176","kph","216.507"
"","","","","","","","","","","","","","","","","","","","","8","16","R","0","grosjean","8","GRO","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain","Grosjean","1986-04-17","French","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","6","24","Wheel","","","16","23","1:28.805","kph","214.974"
"","","","","","","","","","","","","","","","","","","","","20","17","R","0","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","5","22","Wheel","","","17","21","1:29.534","kph","213.224"
"","","","","","","","","","","","","","","","","","","","","10","18","R","0","gasly","10","GAS","http://en.wikipedia.org/wiki/Pierre_Gasly","Pierre","Gasly","1996-02-07","French","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","20","13","Engine","","","18","13","1:30.649","kph","210.601"
"","","","","","","","","","","","","","","","","","","","","9","19","R","0","ericsson","9","ERI","http://en.wikipedia.org/wiki/Marcus_Ericsson","Marcus","Ericsson","1990-09-02","Swedish","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","17","5","Steering","","","19","4","1:32.210","kph","207.036"
"","","","","","","","","","","","","","","","","","","","","35","20","R","0","sirotkin","35","SIR","http://en.wikipedia.org/wiki/Sergey_Sirotkin_(racing_driver)","Sergey","Sirotkin","1995-08-27","Russian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","19","4","Brakes","","","20","3","1:32.573","kph","206.224"
"","","","","","","","2018","2","https://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix","Bahrain Grand Prix","bahrain","http://en.wikipedia.org/wiki/Bahrain_International_Circuit","Bahrain International Circuit","26.0325","50.5106","Sakhir","Bahrain","2018-04-08","15:10:00Z","5","1","1","25","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","1","57","Finished","5521940","1:32:01.940","7","21","1:34.453","kph","206.274"
"","","","","","","","","","","","","","","","","","","","","77","2","2","18","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","3","57","Finished","5522639","+0.699","1","22","1:33.740","kph","207.842"
"","","","","","","","","","","","","","","","","","","","","44","3","3","15","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","9","57","Finished","5528452","+6.512","2","51","1:33.953","kph","207.371"
"","","","","","","","","","","","","","","","","","","","","10","4","4","12","gasly","10","GAS","http://en.wikipedia.org/wiki/Pierre_Gasly","Pierre","Gasly","1996-02-07","French","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","5","57","Finished","5584174","+1:02.234","11","46","1:34.863","kph","205.382"
"","","","","","","","","","","","","","","","","","","","","20","5","5","10","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","6","57","Finished","5596986","+1:15.046","5","29","1:34.327","kph","206.549"
"","","","","","","","","","","","","","","","","","","","","27","6","6","8","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","7","57","Finished","5620964","+1:39.024","9","50","1:34.667","kph","205.807"
"","","","","","","","","","","","","","","","","","","","","14","7","7","6","alonso","14","ALO","http://en.wikipedia.org/wiki/Fernando_Alonso","Fernando","Alonso","1981-07-29","Spanish","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","13","56","+1 Lap","","","4","47","1:34.168","kph","206.898"
"","","","","","","","","","","","","","","","","","","","","2","8","8","4","vandoorne","2","VAN","http://en.wikipedia.org/wiki/Stoffel_Vandoorne","Stoffel","Vandoorne","1992-03-26","Belgian","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","14","56","+1 Lap","","","16","30","1:35.131","kph","204.803"
"","","","","","","","","","","","","","","","","","","","","9","9","9","2","ericsson","9","ERI","http://en.wikipedia.org/wiki/Marcus_Ericsson","Marcus","Ericsson","1990-09-02","Swedish","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","17","56","+1 Lap","","","15","26","1:35.093","kph","204.885"
"","","","","","","","","","","","","","","","","","","","","31","10","10","1","ocon","31","OCO","http://en.wikipedia.org/wiki/Esteban_Ocon","Esteban","Ocon","1996-09-17","French","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","8","56","+1 Lap","","","12","38","1:35.043","kph","204.993"
"","","","","","","","","","","","","","","","","","","","","55","11","11","0","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","10","56","+1 Lap","","","18","35","1:35.535","kph","203.937"
"","","","","","","","","","","","","","","","","","","","","16","12","12","0","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","19","56","+1 Lap","","","14","35","1:35.075","kph","204.924"
"","","","","","","","","","","","","","","","","","","","","8","13","13","0","grosjean","8","GRO","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain","Grosjean","1986-04-17","French","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","16","56","+1 Lap","","","10","44","1:34.689","kph","205.759"
"","","","","","","","","","","","","","","","","","","","","18","14","14","0","stroll","18","STR","http://en.wikipedia.org/wiki/Lance_Stroll","Lance","Stroll","1998-10-29","Canadian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","20","56","+1 Lap","","","13","40","1:35.058","kph","204.961"
"","","","","","","","","","","","","","","","","","","","","35","15","15","0","sirotkin","35","SIR","http://en.wikipedia.org/wiki/Sergey_Sirotkin_(racing_driver)","Sergey","Sirotkin","1995-08-27","Russian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","18","56","+1 Lap","","","3","47","1:34.053","kph","207.151"
"","","","","","","","","","","","","","","","","","","","","11","16","16","0","perez","11","PER","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio","Pérez","1990-01-26","Mexican","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","12","56","+1 Lap","","","17","32","1:35.266","kph","204.513"
"","","","","","","","","","","","","","","","","","","","","28","17","17","0","brendon_hartley","28","HAR","http://en.wikipedia.org/wiki/Brendon_Hartley","Brendon","Hartley","1989-11-10","New Zealander","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","11","56","+1 Lap","","","8","42","1:34.563","kph","206.034"
"","","","","","","","","","","","","","","","","","","","","7","18","R","0","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","2","35","Wheel","","","6","22","1:34.337","kph","206.527"
"","","","","","","","","","","","","","","","","","","","","33","19","R","0","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","15","3","Puncture","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","3","20","R","0","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","4","1","Electrical","","","","","","",""
"","","","","","","","2018","3","https://en.wikipedia.org/wiki/2018_Chinese_Grand_Prix","Chinese Grand Prix","shanghai","http://en.wikipedia.org/wiki/Shanghai_International_Circuit","Shanghai International Circuit","31.3389","121.22","Shanghai","China","2018-04-15","06:10:00Z","3","1","1","25","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","6","56","Finished","5736380","1:35:36.380","1","55","1:35.785","kph","204.871"
"","","","","","","","","","","","","","","","","","","","","77","2","2","18","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","3","56","Finished","5745274","+8.894","6","50","1:36.987","kph","202.332"
"","","","","","","","","","","","","","","","","","","","","7","3","3","15","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","2","56","Finished","5746017","+9.637","3","48","1:36.456","kph","203.446"
"","","","","","","","","","","","","","","","","","","","","44","4","4","12","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","4","56","Finished","5753365","+16.985","4","20","1:36.878","kph","202.559"
"","","","","","","","","","","","","","","","","","","","","33","5","5","10","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","5","56","Finished","5756816","+20.436","2","50","1:36.206","kph","203.974"
"","","","","","","","","","","","","","","","","","","","","27","6","6","8","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","7","56","Finished","5757432","+21.052","5","56","1:36.881","kph","202.553"
"","","","","","","","","","","","","","","","","","","","","14","7","7","6","alonso","14","ALO","http://en.wikipedia.org/wiki/Fernando_Alonso","Fernando","Alonso","1981-07-29","Spanish","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","13","56","Finished","5767019","+30.639","7","56","1:37.234","kph","201.818"
"","","","","","","","","","","","","","","","","","","","","5","8","8","4","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","1","56","Finished","5771666","+35.286","9","24","1:37.479","kph","201.311"
"","","","","","","","","","","","","","","","","","","","","55","9","9","2","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","9","56","Finished","5772143","+35.763","11","54","1:37.754","kph","200.744"
"","","","","","","","","","","","","","","","","","","","","20","10","10","1","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","11","56","Finished","5775974","+39.594","14","54","1:38.152","kph","199.930"
"","","","","","","","","","","","","","","","","","","","","31","11","11","0","ocon","31","OCO","http://en.wikipedia.org/wiki/Esteban_Ocon","Esteban","Ocon","1996-09-17","French","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","12","56","Finished","5780430","+44.050","12","47","1:37.985","kph","200.271"
"","","","","","","","","","","","","","","","","","","","","11","12","12","0","perez","11","PER","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio","Pérez","1990-01-26","Mexican","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","8","56","Finished","5781105","+44.725","10","54","1:37.673","kph","200.911"
"","","","","","","","","","","","","","","","","","","","","2","13","13","0","vandoorne","2","VAN","http://en.wikipedia.org/wiki/Stoffel_Vandoorne","Stoffel","Vandoorne","1992-03-26","Belgian","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","14","56","Finished","5785753","+49.373","13","54","1:38.137","kph","199.961"
